nom,taux_horaire,budget_minimum_projet,cout_moyen_projet,note,nombre_avis,ville,pays
"Inventco Software","$25 - $49 / hr","$5,000+","50 - 249","38.3","20","Jaipur","India"
"STRV","$100 - $149 / hr","$100,000+","50 - 249","38.2","20","Prague","Czech Republic"
"Ackee","$50 - $99 / hr","$25,000+","50 - 249","38.2","20","Karlín","Czech Republic"
"Lampa Software","$25 - $49 / hr","$25,000+","50 - 249","38.2","20","Vinnytsia","Ukraine"
"Trango Tech","$25 - $49 / hr","Undisclosed","250 - 999","38.1","20","Dubai","United Arab Emirates"
"Cogniteq","$50 - $99 / hr","$10,000+","$10,000 - $49,000","4.9","45","Ząbki","Poland"
"itCraft","$50 - $99 / hr","$25,000+","$50,000 - $199,999","5","71","Warszawa","Poland"
"Techgropse","$25 - $49 / hr","$25,000+","$10,000 - $49,000","4.8","93","Dubai","United Arab Emirates"
"The Distance App Developers","$100 - $149 / hr","$50,000+","$50,000 - $199,999","4.8","40","York","England"
"TekRevol","$25 - $49 / hr","$25,000+","$10,000 - $49,000","4.8","83","Houston","United States"
"Build Me App","$25 - $49 / hr","$10,000+","$10,000 - $49,000 avg. project cost","5","17","Toronto","Canada"
"Nareia","$50 - $99 / hr","$10,000+","$50,000 - $199,999 avg. project cost","4.9","12","Montevideo","Uruguay"
"Techugo","$25 - $49 / hr","$5,000+","$50,000 - $199,999 avg. project cost","4.7","98","Noida","India"
"Bolder Apps","$50 - $99 / hr","$5,000+","$50,000 - $199,999 avg. project cost","5","5","Miami","No content available"
"PowerGate Software","< $25 / hr","$10,000+","No content available","5","40","Hanoi","Vietnam"
"Ewaantech","$25 - $49 / hr","$1,000+","Unknown avg. project cost","5","7","Dubai","United Arab Emirates"
"Appello Software","$100 - $149 / hr","$50,000+","$10,000 - $49,000","4.9","33","Sydney","Australia"
"VLink","$50 - $99 / hr","$10,000+","$200,000 to $999,999","4.2","7","South Windsor, CT","No content available"
"Mood Up","$25 - $49 / hr","$10,000+","$10,000 - $49,000","5","25","Poznań","Poland"
"Appetiser","$50 - $99 / hr","$10,000+","$50,000 - $199,999","4.8","27","Richmond","Australia"
"Tech Exactly","< $25 / hr","$5,000+","$10,000 - $49,000","4.9","30","Kolkata","India"
"Octal IT Solution","$25 - $49 / hr","$5,000+","No content available","4.6","131","Jaipur","India"
"Lickability","$200 - $300 / hr","$25,000+","$200,000 - $999,999","4.9","25","New York, NY","No content available"
"Enozom Software","$25 - $49 / hr","$50,000+","$10,000 - $49,000","4.9","34","Alexandria","Egypt"
"Wve Labs","$100 - $149 / hr","$25,000+","$10,000 - $49,000","5","31","Costa Mesa","United States"
"Helpful Insight Private Limited","$25 - $49 / hr","$5,000+","$10,000 - $49,000","5","115","New York","United States"
"Stakk","$100 - $149 / hr","$50,000+","$50,000 - $199,999","4.9","30","London","United Kingdom"
"Brightec","$100 - $149 / hr","$25,000+","$50,000 to $199,999","4.9","24","Shoreham","United Kingdom"
"Emirates Graphic","$25 - $49 / hr","$5,000+","$10,000 - $49,000","4.9","32","Dubai","United Arab Emirates"
"Techne HQ","$50 - $99 / hr","$10,000+","$10,000 - $49,000","4.8","19","Cremorne","Australia"
"Arbisoft","$50 - $99 / hr","$50,000+","No content available","4.9","35","Plano","United States"
"AppIt Ventures","$100 - $149 / hr","$25,000+","No content available","4.9","39","Denver","United States"
"nomtek","$50 - $99 / hr","$25,000+","No content available","4.9","43","Wrocław","Poland"
"IIH Global","< $25 / hr","$1,000+","Less than $10,000","4.8","79","Hertfordshire","England"
"Etnetera Flow","$50 - $99 / hr","$10,000+","Less than $10,000","5","12","Prague","Czech Republic"
"Apzumi","$50 - $99 / hr","$10,000+","No content available","4.9","49","Poznań","Poland"
